RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY
153,Terrence Pegula,$6.8 B,72,Florida,Natural gas,2,ENERGY
153,Reinhold Schmieding,$6.8 B,68,Florida,Medical devices,None,HEALTHCARE
156,Mat Ishbia,$6.7 B,43,Michigan,Mortgage lender,1,FINANCE & INVESTMENTS
156,Jim Kennedy,$6.7 B,75,Georgia,"Media, automotive",3,MEDIA & ENTERTAINMENT
156,Blair Parry-Okeden,$6.7 B,73,,"Media, automotive",2,MEDIA & ENTERTAINMENT
156,Lynsi Snyder,$6.7 B,41,California,In-N-Out Burger,2,FOOD & BEVERAGE
156,George Soros,$6.7 B,93,New York,Hedge funds,5,FINANCE & INVESTMENTS
161,Vinod Khosla,$6.5 B,68,California,Venture capital,2,TECHNOLOGY
161,Annette Lerner & family,$6.5 B,93,Maryland,Real estate,1,REAL ESTATE
161,Michael Milken,$6.5 B,77,California,Investments,3,FINANCE & INVESTMENTS
164,Li Ge,$6.4 B,56,,Pharmaceutical ingredients,None,HEALTHCARE
164,Pierre Omidyar,$6.4 B,56,Hawaii,"EBay, PayPal",5,TECHNOLOGY
164,Charles Simonyi,$6.4 B,75,Washington,Microsoft,2,TECHNOLOGY
167,Neil Bluhm,$6.3 B,85,Illinois,Real estate,2,REAL ESTATE
167,Don Vultaggio & family,$6.3 B,71,New York,Beverages,1,FOOD & BEVERAGE
169,John Brown,$6.2 B,89,Georgia,Medical equipment,2,HEALTHCARE
169,Stanley Druckenmiller,$6.2 B,70,New York,Hedge funds,3,FINANCE & INVESTMENTS
169,Daniel Ziff,$6.2 B,51,New York,Investments,1,FINANCE & INVESTMENTS
169,Dirk Ziff,$6.2 B,59,Florida,Investments,1,FINANCE & INVESTMENTS
169,Robert Ziff,$6.2 B,57,New York,Investments,1,FINANCE & INVESTMENTS
174,Philippe Laffont,$6.1 B,56,New York,Hedge fund,1,FINANCE & INVESTMENTS
174,Paul Singer,$6.1 B,79,New York,Hedge funds,2,FINANCE & INVESTMENTS
176,Todd Boehly,$6 B,50,Connecticut,Finance,None,FINANCE & INVESTMENTS
176,William Goldring & family,$6 B,80,Louisiana,alcohol,None,FOOD & BEVERAGE
176,Karen Pritzker,$6 B,65,Connecticut,"Hotels, investments",2,FINANCE & INVESTMENTS
176,Les Wexner & family,$6 B,86,Ohio,Retail,3,FASHION & RETAIL
180,John A. Sobrato & family,$5.9 B,84,California,Real estate,4,REAL ESTATE
180,Peter Thiel,$5.9 B,55,California,"Facebook, investments",2,FINANCE & INVESTMENTS
182,Robert Faith,$5.8 B,60,South Carolina,Real estate management,1,REAL ESTATE
182,Denise York & family,$5.8 B,72,Ohio,San Francisco 49ers,1,SPORTS
184,David Bonderman,$5.7 B,80,Texas,Private equity,2,FINANCE & INVESTMENTS
184,"Chase Coleman, III.",$5.7 B,48,New York,Investments,2,FINANCE & INVESTMENTS
184,Dan Friedkin,$5.7 B,58,Texas,Toyota dealerships,3,AUTOMOTIVE
184,Bill Haslam,$5.7 B,65,Tennessee,Gas stations,1,FASHION & RETAIL
184,Marc Rowan,$5.7 B,61,New York,Private equity,2,FINANCE & INVESTMENTS
184,Fred Smith,$5.7 B,79,Tennessee,FedEx,1,LOGISTICS
184,Mark Walter,$5.7 B,63,Illinois,"Finance, asset management",2,FINANCE & INVESTMENTS
184,Ty Warner,$5.7 B,79,Illinois,"Plush toys, real estate",2,REAL ESTATE
192,Scott Cook,$5.6 B,71,California,Software,3,TECHNOLOGY
192,Tom Golisano,$5.6 B,81,Florida,Payroll services,2,SERVICE
192,Joe Mansueto,$5.6 B,67,Illinois,Investment research,2,FINANCE & INVESTMENTS
192,Janice McNair,$5.6 B,87,Texas,"Energy, sports",2,SPORTS
192,Thomas Pritzker,$5.6 B,73,Illinois,"Hotels, investments",2,FINANCE & INVESTMENTS
192,Lynda Resnick,$5.6 B,80,California,Agriculture,3,FOOD & BEVERAGE
192,Stewart Resnick,$5.6 B,86,California,Agriculture,3,FOOD & BEVERAGE
192,Gary Rollins,$5.6 B,79,Georgia,Pest control,2,SERVICE
192,Kelcy Warren,$5.6 B,67,Texas,Pipelines,2,ENERGY
201,Gwendolyn Sontheim Meyer,$5.5 B,61,California,Cargill,1,FOOD & BEVERAGE
201,Mark Stevens,$5.5 B,63,Colorado,Venture capital,2,FINANCE & INVESTMENTS
203,"Robert Hale, Jr.",$5.4 B,57,Massachusetts,Telecom,3,TELECOM
204,Robert Bass,$5.3 B,75,Texas,"Oil, investments",2,ENERGY
204,Gayle Benson,$5.3 B,76,Louisiana,New Orleans Saints,2,SPORTS
204,Rick Caruso,$5.3 B,64,California,Real estate,2,REAL ESTATE
204,Thai Lee,$5.3 B,64,Texas,IT provider,1,TECHNOLOGY
204,Doug Meijer & family,$5.3 B,69,Michigan,Supermarkets,2,FASHION & RETAIL
204,Hank Meijer & family,$5.3 B,71,Michigan,Supermarkets,2,FASHION & RETAIL
204,Mark Meijer & family,$5.3 B,65,Michigan,Supermarkets,2,FASHION & RETAIL
211,Mark Cuban,$5.2 B,65,Texas,"Online media, Dallas Mavericks",1,MEDIA & ENTERTAINMENT
211,Dagmar Dolby & family,$5.2 B,82,California,Dolby Laboratories,3,TECHNOLOGY
211,Archie Aldis Emmerson & family,$5.2 B,94,California,"Timberland, lumber mills",2,MANUFACTURING
211,Thomas Hagen,$5.2 B,87,Pennsylvania,Insurance,2,FINANCE & INVESTMENTS
215,Ron Baron,$5.1 B,80,New York,Money management,1,FINANCE & INVESTMENTS
215,Jim Davis & family,$5.1 B,80,Massachusetts,New Balance,2,MANUFACTURING
215,John Henry,$5.1 B,74,Florida,Sports,1,SPORTS
215,Charles B. Johnson,$5.1 B,90,Florida,Franklin Templeton,3,FINANCE & INVESTMENTS
215,Joseph Liemandt,$5.1 B,55,Texas,Software,None,TECHNOLOGY
215,Sami Mnaymneh,$5.1 B,62,Florida,Private equity,1,FINANCE & INVESTMENTS
215,Michael Moritz,$5.1 B,69,California,Venture capital,4,TECHNOLOGY
215,Tony Tamer,$5.1 B,65,New York,Private equity,None,FINANCE & INVESTMENTS
215,Romesh T. Wadhwani,$5.1 B,76,California,Software,2,TECHNOLOGY
224,"Austen Cargill, II.",$5 B,72,Montana,Cargill,1,FOOD & BEVERAGE
224,"James Cargill, II.",$5 B,74,Wisconsin,Cargill,1,FOOD & BEVERAGE
224,Marianne Liebmann,$5 B,70,Montana,Cargill,1,FOOD & BEVERAGE
227,Margot Birmingham Perot,$4.9 B,89,Texas,"Computer services, real estate",2,TECHNOLOGY
227,W. Herbert Hunt,$4.9 B,94,Texas,Oil,1,ENERGY
227,Helen Johnson-Leipold,$4.9 B,66,Wisconsin,Cleaning products,2,MANUFACTURING
227,Dan Kurzius,$4.9 B,51,Georgia,Email marketing,None,TECHNOLOGY
227,George Lucas,$4.9 B,79,California,Star Wars,4,MEDIA & ENTERTAINMENT
227,Trevor Rees-Jones,$4.9 B,72,Texas,Oil & gas,4,ENERGY
227,Thomas Secunda,$4.9 B,69,New York,Bloomberg LP,2,FINANCE & INVESTMENTS
227,Patrick Soon-Shiong,$4.9 B,71,California,Pharmaceuticals,2,HEALTHCARE
227,Elizabeth Uihlein,$4.9 B,78,Illinois,Packaging materials,2,MANUFACTURING
227,Richard Uihlein,$4.9 B,78,Illinois,Packaging materials,2,MANUFACTURING
227,Ronald Wanek,$4.9 B,82,Florida,Furniture,2,MANUFACTURING
238,H. Fisk Johnson,$4.8 B,65,Wisconsin,Cleaning products,2,MANUFACTURING
238,S. Curtis Johnson,$4.8 B,68,Wisconsin,Cleaning products,2,MANUFACTURING
238,Winifred J. Marquart,$4.8 B,64,Virginia,Cleaning products,2,MANUFACTURING
238,Arturo Moreno,$4.8 B,77,Arizona,"Billboards, Los Angeles Angels",2,SPORTS
238,Steven Spielberg,$4.8 B,76,California,Movies,3,MEDIA & ENTERTAINMENT
238,Russ Weiner,$4.8 B,53,Florida,Energy drinks,1,FOOD & BEVERAGE
244,Charles Dolan & family,$4.7 B,96,New York,Cable television,2,MEDIA & ENTERTAINMENT
244,Jim Kavanaugh,$4.7 B,60,Missouri,IT provider,1,TECHNOLOGY
244,Ronald Lauder,$4.7 B,79,New York,Estee Lauder,3,FASHION & RETAIL
244,Mitchell Rales,$4.7 B,67,Maryland,"Manufacturing, investments",2,MANUFACTURING
244,Jon Stryker,$4.7 B,65,New York,Medical equipment,4,HEALTHCARE
249,Ben Chestnut,$4.6 B,49,Georgia,Email marketing,1,TECHNOLOGY
249,Rakesh Gangwal,$4.6 B,70,Florida,Airline,None,SERVICE
249,Jeff T. Green,$4.6 B,46,California,Digital advertising,1,MEDIA & ENTERTAINMENT
249,Donald Horton & family,$4.6 B,73,Texas,Homebuilding,1,REAL ESTATE
249,Johnelle Hunt,$4.6 B,91,Arkansas,Trucking,2,LOGISTICS
249,Jeffrey Lurie & family,$4.6 B,72,Pennsylvania,Philadelphia Eagles,2,SPORTS
249,Mark Shoen,$4.6 B,72,Arizona,U-Haul,None,AUTOMOTIVE
249,Herbert Wertheim,$4.6 B,84,Florida,Investments,1,FINANCE & INVESTMENTS
249,Ken Xie,$4.6 B,60,California,Cybersecurity,1,TECHNOLOGY
258,James Chambers,$4.5 B,66,New York,"Media, automotive",2,MEDIA & ENTERTAINMENT
258,Min Kao & family,$4.5 B,74,Kansas,Navigation equipment,2,TECHNOLOGY
258,Lin Bin,$4.5 B,55,,Smartphones,None,TECHNOLOGY
258,Katharine Rayner,$4.5 B,78,New York,"Media, automotive",2,MEDIA & ENTERTAINMENT
258,Lynn Schusterman & family,$4.5 B,84,Oklahoma,"Oil & gas, investments",5,ENERGY
258,Margaretta Taylor,$4.5 B,81,New York,"Media, automotive",2,MEDIA & ENTERTAINMENT
264,Jim Davis,$4.4 B,63,Maryland,Staffing & recruiting,3,SERVICE
264,Jeff Skoll,$4.4 B,58,California,EBay,5,TECHNOLOGY
264,Eric Yuan & family,$4.4 B,53,California,Zoom Video Communications,None,TECHNOLOGY
267,John Catsimatidis,$4.3 B,75,New York,"Oil, real estate",1,ENERGY
267,Reed Hastings,$4.3 B,62,California,Netflix,3,TECHNOLOGY
267,James Irsay,$4.3 B,64,Indiana,Indianapolis Colts,1,SPORTS
267,Eric Lefkofsky,$4.3 B,54,Illinois,"Groupon, investments",2,TECHNOLOGY
267,Gabe Newell,$4.3 B,60,Washington,Videogames,None,GAMBLING & CASINOS
267,Jean (Gigi) Pritzker,$4.3 B,61,California,"Hotels, investments",2,SERVICE
273,Joseph Grendys,$4.2 B,61,Illinois,Poultry processing,1,FOOD & BEVERAGE
273,Martha Ingram & family,$4.2 B,88,Tennessee,"Book distribution, transportation",1,MEDIA & ENTERTAINMENT
273,"Jeremy Jacobs, Sr. & family",$4.2 B,83,New York,Food service,2,SERVICE
273,"Rupert Johnson, Jr.",$4.2 B,83,California,Franklin Templeton,2,FINANCE & INVESTMENTS
273,John Sall,$4.2 B,75,North Carolina,Software,2,TECHNOLOGY
278,Nick Caporella,$4.1 B,87,Florida,Beverages,None,FOOD & BEVERAGE
278,Barry Diller,$4.1 B,81,New York,Online media,3,MEDIA & ENTERTAINMENT
278,Stephen Feinberg,$4.1 B,63,New York,Private equity,None,FINANCE & INVESTMENTS
278,Maggie Hardy,$4.1 B,57,Pennsylvania,Building materials,None,SERVICE
278,Dan Snyder,$4.1 B,58,Maryland,Washington Commanders,1,SPORTS
278,Tim Sweeney,$4.1 B,52,North Carolina,Video games,1,MEDIA & ENTERTAINMENT
278,Steven Udvar-Hazy,$4.1 B,77,Texas,Aircraft leasing,3,SERVICE
285,Marian Ilitch,$4 B,90,Michigan,Little Caesars Pizza,3,FOOD & BEVERAGE
285,Roger Penske,$4 B,86,Michigan,Cars,1,AUTOMOTIVE
285,Isaac Perlmutter,$4 B,80,Florida,Marvel comics,1,MEDIA & ENTERTAINMENT
285,Jeff Rothschild,$4 B,68,California,Facebook,1,TECHNOLOGY
285,E. Joe Shoen,$4 B,73,Arizona,U-Haul,None,AUTOMOTIVE
285,Donald Sterling,$4 B,89,California,Real estate,1,REAL ESTATE
291,Sid Bass,$3.9 B,81,Texas,"Oil, investments",2,ENERGY
291,Wesley Edens,$3.9 B,61,New York,Investments,None,FINANCE & INVESTMENTS
291,Hamilton James & family,$3.9 B,72,New York,Investments,2,FINANCE & INVESTMENTS
291,Gail Miller,$3.9 B,79,Utah,Car dealerships,2,AUTOMOTIVE
295,Jim Coulter,$3.8 B,63,California,Private equity,1,FINANCE & INVESTMENTS
295,Daniel D'Aniello,$3.8 B,77,Virginia,Private equity,3,FINANCE & INVESTMENTS
295,Behdad Eghbali,$3.8 B,47,California,Private equity,None,FINANCE & INVESTMENTS
295,Jose E. Feliciano,$3.8 B,50,California,Private equity,1,FINANCE & INVESTMENTS
295,Peter Kellogg,$3.8 B,81,New Jersey,Investments,3,FINANCE & INVESTMENTS
295,Richard Schulze,$3.8 B,82,Florida,Best Buy,3,FASHION & RETAIL
295,Thomas Siebel,$3.8 B,70,California,Business software,4,TECHNOLOGY
295,Barry Sternlicht,$3.8 B,62,Florida,Private equity,2,FINANCE & INVESTMENTS
295,Michael Xie,$3.8 B,54,California,Cybersecurity,1,TECHNOLOGY
304,William Ackman,$3.7 B,57,New York,Hedge funds,3,FINANCE & INVESTMENTS
304,Brian Armstrong,$3.7 B,40,California,Cryptocurrency,None,FINANCE & INVESTMENTS
304,Hayes Barnard,$3.7 B,51,Texas,Fintech,2,FINANCE & INVESTMENTS
304,Peter Gassner,$3.7 B,58,California,Software,None,TECHNOLOGY
304,Brad Jacobs,$3.7 B,67,Connecticut,Logistics,None,LOGISTICS
304,Mary Alice Dorrance Malone,$3.7 B,73,Pennsylvania,Campbell Soup,1,FOOD & BEVERAGE
304,John Middleton,$3.7 B,68,Pennsylvania,Tobacco,2,FOOD & BEVERAGE
304,Jay Paul,$3.7 B,76,California,Real estate,None,REAL ESTATE
304,"H. Ross Perot, Jr.",$3.7 B,64,Texas,Real estate,2,REAL ESTATE
304,Anthony Pritzker,$3.7 B,62,California,"Hotels, investments",3,SERVICE
314,Sanjit Biswas,$3.6 B,41,California,Sensor systems,None,TECHNOLOGY
314,James Clark,$3.6 B,79,Florida,"Netscape, investments",2,TECHNOLOGY
314,Jack Dorsey,$3.6 B,46,California,"Twitter, Square",4,TECHNOLOGY
314,Travis Kalanick,$3.6 B,47,California,Uber,None,TECHNOLOGY
