RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Wealth History,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
30,Harold Hamm & family,$25.2 B,77,Oklahoma,Oil & gas,1,ENERGY,10,"Oil & gas, Self Made","Oklahoma City, Oklahoma",United States,Divorced,5,"Diploma, High School",78,1,"$12.2B : March 2015
$5.1B : March 2016
$13.3B : March 2017
$14.1B : March 2018
$12.7B : March 2019
$2.4B : April 2020
$9.4B : April 2021
$17.2B : April 2022
$18.5B : April 2023
$18.5B : April 2024
",,,,
31,Lukas Walton,$24.2 B,37,Illinois,Walmart,1,FASHION & RETAIL,1,Walmart,"Chicago, Illinois",United States,Married,,"Bachelor of Arts/Science, Colorado College",37,1,"$10.4B : March 2016
$11.3B : March 2017
$15.9B : March 2018
$15.2B : March 2019
$18.4B : April 2020
$15.6B : April 2021
$16.5B : April 2022
$21.2B : April 2023
$28B : April 2024
",,,,
32,"Thomas Frist, Jr. & family",$22.6 B,85,Tennessee,Hospitals,1,HEALTHCARE,7,"Hospitals, Self Made","Nashville, Tennessee",United States,Married,3,"Bachelor of Arts/Science, Vanderbilt University; Medical Doctor, Washington University",85,1,"$7.6B : March 2015
$7.3B : March 2016
$8.8B : March 2017
$9.6B : March 2018
$12.4B : March 2019
$7.5B : April 2020
$15.7B : April 2021
$21.8B : April 2022
$20.2B : April 2023
$26.2B : April 2024
",,,,
33,"John Menard, Jr.",$22.5 B,83,Wisconsin,Home improvement stores,1,FASHION & RETAIL,9,"Home improvement stores, Self Made","Eau Claire, Wisconsin",United States,Married,6,"Bachelor of Arts/Science, University of Wisconsin, Eau Claire",84,1,"$9B : March 2015
$9.3B : March 2016
$10.2B : March 2017
$11.5B : March 2018
$10.5B : March 2019
$11.5B : April 2020
$14.2B : April 2021
$16.6B : April 2022
$17.4B : April 2023
$25.2B : April 2024
",,,,
34,Daniel Gilbert,$21.3 B,61,Michigan,Quicken Loans,2,FINANCE & INVESTMENTS,8,"Quicken Loans, Self Made","Franklin, Michigan",United States,Married,5,"Bachelor of Arts/Science, Michigan State University; LLB, Wayne State University",62,2,"$4.7B : March 2015
$4.9B : March 2016
$5.8B : March 2017
$6.3B : March 2018
$6.7B : March 2019
$6.5B : April 2020
$51.9B : April 2021
$22B : April 2022
$18B : April 2023
$26.2B : April 2024
",,,,
35,David Tepper,$20.6 B,66,Florida,Hedge funds,2,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","Palm Beach, Florida",United States,Married,3,"Master of Business Administration, David A. Tepper School of Business; Bachelor of Arts/Science, University of Pittsburgh",66,2,"$10.4B : March 2015
$11.4B : March 2016
$11B : March 2017
$11B : March 2018
$11.6B : March 2019
$12B : April 2020
$14.5B : April 2021
$16.7B : April 2022
$18.5B : April 2023
$20.6B : April 2024
",,,,
36,Eric Schmidt,$20 B,68,California,Google,3,TECHNOLOGY,6,"Google, Self Made","Atherton, California",United States,Married,2,"Bachelor of Arts/Science, Princeton University; Doctorate, University of California, Berkeley; Master of Science, University of California, Berkeley",69,3,"$9.1B : March 2015
$10.2B : March 2016
$11.1B : March 2017
$13.4B : March 2018
$12.9B : March 2019
$13.2B : April 2020
$18.9B : April 2021
$22.1B : April 2022
$16.2B : April 2023
$20.6B : April 2024
",,,,
37,Steve Cohen,$19.8 B,67,Connecticut,Hedge funds,3,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","Greenwich, Connecticut",United States,Married,7,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",68,3,"$11.4B : March 2015
$12.7B : March 2016
$13B : March 2017
$14B : March 2018
$12.9B : March 2019
$13.9B : April 2020
$16B : April 2021
$17.4B : April 2022
$17.5B : April 2023
$19.8B : April 2024
",,,,
38,Diane Hendricks,$19.3 B,76,Wisconsin,Building supplies,1,CONSTRUCTION & ENGINEERING,9,"Building supplies, Self Made","Afton, Wisconsin",United States,Widowed,7,"Diploma, High School",77,1,"$3.6B : March 2015
$5.1B : March 2016
$3.9B : March 2017
$5.5B : March 2018
$6.3B : March 2019
$6.9B : April 2020
$8B : April 2021
$10.7B : April 2022
$13.7B : April 2023
$20.9B : April 2024
",,,,
39,Donald Bren,$18 B,91,California,Real estate,4,REAL ESTATE,8,"Real estate, Self Made","Newport Beach, California",United States,Married,7,"Bachelor of Arts/Science, University of Washington",92,4,"$15.2B : March 2015
$15.1B : March 2016
$15.2B : March 2017
$16.3B : March 2018
$16.4B : March 2019
$15.5B : April 2020
$15.3B : April 2021
$16.2B : April 2022
$17.4B : April 2023
$18B : April 2024
",,,,
40,Rupert Murdoch & family,$17.4 B,92,New York,"Newspapers, TV network",1,MEDIA & ENTERTAINMENT,5,"Newspapers, TV network","New York, New York",United States,Married,6,"Bachelor of Arts/Science, Oxford University; Master of Arts, Oxford University",93,1,"$13.9B : March 2015
$10.6B : March 2016
$13.1B : March 2017
$15B : March 2018
$19.4B : March 2019
$14.9B : April 2020
$23.5B : April 2021
$20.8B : April 2022
$17.1B : April 2023
$19.5B : April 2024
",,,,
41,Rick Cohen & family,$16.2 B,71,New Hampshire,Warehouse automation,None,TECHNOLOGY,5,Warehouse automation,"Keene, New Hampshire",United States,Married,3,,72,,"$9.6B : April 2023
$19.6B : April 2024
",,,,
42,Ray Dalio,$15.4 B,74,Connecticut,Hedge funds,3,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","Greenwich, Connecticut",United States,Married,4,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Long Island University",74,3,"$15.4B : March 2015
$15.6B : March 2016
$16.8B : March 2017
$17.7B : March 2018
$18.4B : March 2019
$18B : April 2020
$20.3B : April 2021
$22B : April 2022
$19.1B : April 2023
$15.4B : April 2024
",,,,
42,Leonard Lauder,$15.4 B,90,New York,Estee Lauder,3,FASHION & RETAIL,5,Estee Lauder,"New York, New York",United States,"Widowed, Remarried",2,"Bachelor of Arts/Science, University of Pennsylvania",91,3,"$9.1B : March 2015
$9B : March 2016
$8.9B : March 2017
$12.9B : March 2018
$14.6B : March 2019
$14.6B : April 2020
$25.5B : April 2021
$23.1B : April 2022
$21B : April 2023
$15.1B : April 2024
",,,,
44,Jan Koum,$15.1 B,47,California,WhatsApp,2,TECHNOLOGY,10,"WhatsApp, Self Made","Atherton, California",United States,Single,,"Drop Out, San Jose State University",48,2,"$6.6B : March 2015
$8.6B : March 2016
$9B : March 2017
$9.1B : March 2018
$9.6B : March 2019
$9.7B : April 2020
$9.9B : April 2021
$9.8B : April 2022
$13.7B : April 2023
$16.1B : April 2024
",,,,
45,Philip Anschutz,$14.8 B,83,Colorado,"Energy, sports, entertainment",3,FINANCE & INVESTMENTS,5,"Energy, sports, entertainment","Denver, Colorado",United States,Married,3,"Bachelor of Arts/Science, University of Kansas",84,3,"$11.8B : March 2015
$9.7B : March 2016
$12.5B : March 2017
$13B : March 2018
$10.9B : March 2019
$11B : April 2020
$10.1B : April 2021
$10.9B : April 2022
$10.9B : April 2023
$15.3B : April 2024
",,,,
45,Autry Stephens,$14.8 B,85,Texas,Oil,None,ENERGY,9,"Oil, Self Made","Midland, Texas",United States,Married,2,"Master of Science, University of Texas, Austin",86,,"$5B : April 2022
$10B : April 2023
$24.3B : April 2024
",,,,
47,Stanley Kroenke,$14.6 B,76,Texas,"Sports, real estate",1,SPORTS,7,"Sports, real estate, Self Made","Electra, Texas",United States,Married,2,"Master of Business Administration, Robert J. Trulaske, Sr. College of Business; Bachelor of Arts/Science, University of Missouri",77,1,"$6.3B : March 2015
$7.7B : March 2016
$7.5B : March 2017
$8.3B : March 2018
$8.7B : March 2019
$10B : April 2020
$8.2B : April 2021
$10.7B : April 2022
$12.9B : April 2023
$16.2B : April 2024
",,,,
48,Jerry Jones,$14.5 B,80,Texas,Dallas Cowboys,1,SPORTS,8,"Dallas Cowboys, Self Made","Dallas, Texas",United States,Married,3,"Bachelor of Arts/Science, University of Arkansas; Master of Arts, University of Arkansas",81,1,"$4.2B : March 2015
$5B : March 2016
$5.2B : March 2017
$5.6B : March 2018
$6.8B : March 2019
$8B : April 2020
$8.9B : April 2021
$10.6B : April 2022
$13.3B : April 2023
$13.8B : April 2024
",,,,
49,George Kaiser,$14.1 B,81,Oklahoma,"Oil & gas, banking",4,ENERGY,5,"Oil & gas, banking","Tulsa, Oklahoma",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University",82,4,"$9B : March 2015
$7.1B : March 2016
$7.9B : March 2017
$7.8B : March 2018
$7.6B : March 2019
$5.6B : April 2020
$5.8B : April 2021
$9.9B : April 2022
$13.3B : April 2023
$14.6B : April 2024
",,,,
50,Andrew Beal,$13.8 B,70,Texas,"Banks, real estate",1,FINANCE & INVESTMENTS,8,"Banks, real estate, Self Made","Dallas, Texas",United States,Divorced,6,"Drop Out, Baylor University",71,1,"$11.7B : March 2015
$9.4B : March 2016
$10.4B : March 2017
$11.6B : March 2018
$9.1B : March 2019
$7.9B : April 2020
$7.9B : April 2021
$9.9B : April 2022
$10.3B : April 2023
$11.5B : April 2024
",,,,
51,David Duffield,$13.7 B,83,Nevada,Business software,3,TECHNOLOGY,8,"Business software, Self Made","Incline Village, Nevada",United States,Married,10,"Bachelor of Engineering, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",83,3,"$7.4B : March 2015
$4.4B : March 2016
$6.7B : March 2017
$7.8B : March 2018
$11.8B : March 2019
$7.5B : April 2020
$13.5B : April 2021
$12.9B : April 2022
$10.2B : April 2023
$14.1B : April 2024
",,,,
51,David Green & family,$13.7 B,81,Oklahoma,Retail,2,FASHION & RETAIL,10,"Retail, Self Made","Oklahoma City, Oklahoma",United States,Married,3,"Diploma, High School",82,2,"$6B : March 2015
$5.6B : March 2016
$6.2B : March 2017
$6.8B : March 2018
$7B : March 2019
$6.3B : April 2020
$7.6B : April 2021
$7.3B : April 2022
$14.9B : April 2023
$13.7B : April 2024
",,,,
51,Jeffery Hildebrand,$13.7 B,64,Texas,Oil,2,ENERGY,8,"Oil, Self Made","Houston, Texas",United States,Married,3,"Bachelor of Arts/Science, The University of Texas at Austin; Master of Science, The University of Texas at Austin",65,2,"$4.9B : March 2015
$4.2B : March 2016
$4.3B : March 2017
$3.6B : March 2018
$3B : March 2019
$2.2B : April 2020
$2B : April 2021
$7.5B : April 2022
$10.2B : April 2023
$12.6B : April 2024
",,,,
54,Laurene Powell Jobs & family,$13.4 B,59,California,"Apple, Disney",2,TECHNOLOGY,2,"Apple, Disney","Palo Alto, California",United States,Widowed,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",60,2,"$19.5B : March 2015
$16.7B : March 2016
$20B : March 2017
$18.8B : March 2018
$18.6B : March 2019
$16.4B : April 2020
$19B : April 2021
$16.4B : April 2022
$12B : April 2023
$12.8B : April 2024
",,,,
55,Shahid Khan,$12.2 B,73,Florida,Auto parts,1,AUTOMOTIVE,10,"Auto parts, Self Made","Naples, Florida",United States,Married,2,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign",74,1,"$4.5B : March 2015
$5.9B : March 2016
$8.2B : March 2017
$7.2B : March 2018
$6.8B : March 2019
$7.8B : April 2020
$8B : April 2021
$7.6B : April 2022
$12.1B : April 2023
$12.2B : April 2024
",,,,
55,Dustin Moskovitz,$12.2 B,39,California,Facebook,4,TECHNOLOGY,8,"Facebook, Self Made","San Francisco, California",United States,Married,,"Drop Out, Harvard University",40,4,"$7.9B : March 2015
$8.9B : March 2016
$10.7B : March 2017
$14B : March 2018
$11.1B : March 2019
$9.3B : April 2020
$17.8B : April 2021
$11.5B : April 2022
$8.8B : April 2023
$18.3B : April 2024
",,,,
57,Leon Black,$12 B,72,New York,Private equity,2,FINANCE & INVESTMENTS,8,"Private equity, Self Made","New York, New York",United States,Married,4,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard University",73,2,"$5.3B : March 2015
$4.5B : March 2016
$5.5B : March 2017
$6.5B : March 2018
$6.4B : March 2019
$6.6B : April 2020
$8.6B : April 2021
$10B : April 2022
$8.6B : April 2023
$14B : April 2024
",,,,
58,Israel Englander,$11.8 B,75,New York,Hedge funds,1,FINANCE & INVESTMENTS,9,"Hedge funds, Self Made","New York, New York",United States,Married,3,"Bachelor of Arts/Science, New York University",75,1,"$3.8B : March 2015
$5B : March 2016
$5.2B : March 2017
$5.2B : March 2018
$6.4B : March 2019
$6.6B : April 2020
$9.6B : April 2021
$11.5B : April 2022
$11.3B : April 2023
$12.4B : April 2024
",,,,
58,Christy Walton,$11.8 B,74,Wyoming,Walmart,1,FASHION & RETAIL,1,Walmart,"Jackson, Wyoming",United States,Widowed,1,"High School Graduate, High School",75,1,"$41.7B : March 2015
$5.2B : March 2016
$5.4B : March 2017
$7.3B : March 2018
$7.2B : March 2019
$8.9B : April 2020
$7.2B : April 2021
$7.9B : April 2022
$10.2B : April 2023
$13.6B : April 2024
",,,,
60,Donald Newhouse,$11.6 B,94,New York,Media,2,MEDIA & ENTERTAINMENT,5,Media,"New York, New York",United States,Widowed,3,"Drop Out, Syracuse University",94,2,"$8.3B : March 2015
$9.3B : March 2016
$12.1B : March 2017
$12.3B : March 2018
$11.8B : March 2019
$10.8B : April 2020
$17.6B : April 2021
$14.4B : April 2022
$10.7B : April 2023
$11B : April 2024
",,,,
61,Michael Rubin,$11.5 B,51,Pennsylvania,Online retail,1,FASHION & RETAIL,8,"Online retail, Self Made","Bryn Mawr, Pennsylvania",United States,Divorced,1,"Drop Out, Villanova University",52,1,"$2.7B : March 2015
$2.3B : March 2016
$2.3B : March 2017
$3B : March 2018
$3B : March 2019
$2.9B : April 2020
$3.5B : April 2021
$8B : April 2022
$11.4B : April 2023
$11.5B : April 2024
",,,,
62,Robert Kraft,$11.1 B,82,Massachusetts,"Manufacturing, New England Patriots",3,SPORTS,8,"Manufacturing, New England Patriots, Self Made","Brookline, Massachusetts",United States,"Widowed, Remarried",4,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Harvard Business School",83,3,"$4.3B : March 2015
$4.8B : March 2016
$5.1B : March 2017
$6.2B : March 2018
$6.5B : March 2019
$6.9B : April 2020
$6.9B : April 2021
$8.3B : April 2022
$10.6B : April 2023
$11.1B : April 2024
",,,,
63,John Doerr,$10.7 B,72,California,Venture capital,2,TECHNOLOGY,8,"Venture capital, Self Made","Woodside, California",United States,Married,2,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Rice University; Master of Science, Rice University",73,2,"$3.4B : March 2015
$4.1B : March 2016
$5.2B : March 2017
$7.1B : March 2018
$6.9B : March 2019
$7.3B : April 2020
$12.4B : April 2021
$12.7B : April 2022
$8.8B : April 2023
$11.7B : April 2024
",,,,
64,"Edward Johnson, IV.",$10.6 B,58,Massachusetts,Fidelity,2,FINANCE & INVESTMENTS,2,Fidelity,"Boston, Massachusetts",United States,,,"Bachelor of Arts/Science, Northeastern University",59,2,"$3.6B : March 2018
$3.5B : March 2019
$2.4B : April 2020
$4.8B : April 2021
$6.3B : April 2022
$6.8B : April 2023
$11.8B : April 2024
",,,,
